old_config_path,new_config_path,source_file,source_line,reference_type,historical_reference,requires_update,updated,remaining_reference_allowed,notes
configs/baselines/dialoguegcn/iemocap/causal_benchmark/official_prefix.yaml,configs/dialoguegcn/unified/iemocap/causal_context/legacy_mmgcn_features/val_official_prefix.yaml,configs/analysis/four_model_causal_audit.yaml,9,yaml_reference,NO,YES,YES,NO,Active Batch 4 reference updated to the exact planned canonical path.
configs/baselines/dialoguegcn/iemocap/causal_benchmark/official_prefix.yaml,configs/dialoguegcn/unified/iemocap/causal_context/legacy_mmgcn_features/val_official_prefix.yaml,configs/benchmarks/causal_unified/analysis/four_model_audit_synthetic.yaml,9,yaml_reference,NO,YES,YES,NO,Active Batch 4 reference updated to the exact planned canonical path.
configs/baselines/dialoguegcn/iemocap/causal_benchmark/official_prefix.yaml,configs/dialoguegcn/unified/iemocap/causal_context/legacy_mmgcn_features/val_official_prefix.yaml,configs/pipeline/dialoguegcn/iemocap/causal_benchmark/official_prefix.yaml,23,yaml_reference,NO,YES,YES,NO,Active Batch 4 reference updated to the exact planned canonical path.
configs/baselines/dialoguegcn/iemocap/causal_benchmark/official_prefix.yaml,configs/dialoguegcn/unified/iemocap/causal_context/legacy_mmgcn_features/val_official_prefix.yaml,docs/baselines/new_causal_baselines_remote_protocol.md,58,active_doc,NO,YES,YES,NO,Active Batch 4 reference updated to the exact planned canonical path.
configs/baselines/dialoguegcn/iemocap/causal_benchmark/official_prefix.yaml,configs/dialoguegcn/unified/iemocap/causal_context/legacy_mmgcn_features/val_official_prefix.yaml,scripts/dev/validate_config_tree.py,42,dynamic_path_consumer,NO,YES,YES,NO,Validator DialogueGCN causal-benchmark directory resolver updated to the canonical unified legacy-feature directory.
configs/baselines/dialoguegcn/iemocap/causal_benchmark/official_prefix.yaml,configs/dialoguegcn/unified/iemocap/causal_context/legacy_mmgcn_features/val_official_prefix.yaml,tests/test_four_model_causal_audit.py,31,test_fixture,NO,YES,YES,NO,Active Batch 4 reference updated to the exact planned canonical path.
configs/baselines/dialoguegcn/iemocap/causal_benchmark/val_ses01.yaml,configs/dialoguegcn/unified/iemocap/causal_context/legacy_mmgcn_features/val_ses01.yaml,configs/pipeline/dialoguegcn/iemocap/causal_benchmark/val_ses01.yaml,23,yaml_reference,NO,YES,YES,NO,Active Batch 4 reference updated to the exact planned canonical path.
configs/baselines/dialoguegcn/iemocap/causal_benchmark/val_ses01.yaml,configs/dialoguegcn/unified/iemocap/causal_context/legacy_mmgcn_features/val_ses01.yaml,scripts/dev/validate_config_tree.py,42,dynamic_path_consumer,NO,YES,YES,NO,Validator DialogueGCN causal-benchmark directory resolver updated to the canonical unified legacy-feature directory.
configs/baselines/dialoguegcn/iemocap/causal_benchmark/val_ses02.yaml,configs/dialoguegcn/unified/iemocap/causal_context/legacy_mmgcn_features/val_ses02.yaml,configs/pipeline/dialoguegcn/iemocap/causal_benchmark/val_ses02.yaml,23,yaml_reference,NO,YES,YES,NO,Active Batch 4 reference updated to the exact planned canonical path.
configs/baselines/dialoguegcn/iemocap/causal_benchmark/val_ses02.yaml,configs/dialoguegcn/unified/iemocap/causal_context/legacy_mmgcn_features/val_ses02.yaml,scripts/dev/validate_config_tree.py,42,dynamic_path_consumer,NO,YES,YES,NO,Validator DialogueGCN causal-benchmark directory resolver updated to the canonical unified legacy-feature directory.
configs/baselines/dialoguegcn/iemocap/causal_benchmark/val_ses03.yaml,configs/dialoguegcn/unified/iemocap/causal_context/legacy_mmgcn_features/val_ses03.yaml,configs/pipeline/dialoguegcn/iemocap/causal_benchmark/val_ses03.yaml,23,yaml_reference,NO,YES,YES,NO,Active Batch 4 reference updated to the exact planned canonical path.
configs/baselines/dialoguegcn/iemocap/causal_benchmark/val_ses03.yaml,configs/dialoguegcn/unified/iemocap/causal_context/legacy_mmgcn_features/val_ses03.yaml,scripts/dev/validate_config_tree.py,42,dynamic_path_consumer,NO,YES,YES,NO,Validator DialogueGCN causal-benchmark directory resolver updated to the canonical unified legacy-feature directory.
configs/baselines/dialoguegcn/iemocap/causal_benchmark/val_ses04.yaml,configs/dialoguegcn/unified/iemocap/causal_context/legacy_mmgcn_features/val_ses04.yaml,configs/pipeline/dialoguegcn/iemocap/causal_benchmark/val_ses04.yaml,23,yaml_reference,NO,YES,YES,NO,Active Batch 4 reference updated to the exact planned canonical path.
configs/baselines/dialoguegcn/iemocap/causal_benchmark/val_ses04.yaml,configs/dialoguegcn/unified/iemocap/causal_context/legacy_mmgcn_features/val_ses04.yaml,scripts/dev/validate_config_tree.py,42,dynamic_path_consumer,NO,YES,YES,NO,Validator DialogueGCN causal-benchmark directory resolver updated to the canonical unified legacy-feature directory.
configs/baselines/dialoguegcn/iemocap/clean_roberta_v1/smoke_real_2epoch.yaml,configs/dialoguegcn/unified/iemocap/causal_context/clean_roberta_features/smoke_real_2epoch.yaml,scripts/dev/validate_config_tree.py,77,dynamic_path_consumer,NO,YES,YES,NO,Validator DialogueGCN clean-RoBERTa directory resolver updated to the canonical unified clean-feature directory.
configs/baselines/dialoguegcn/iemocap/clean_roberta_v1/smoke_real_2epoch.yaml,configs/dialoguegcn/unified/iemocap/causal_context/clean_roberta_features/smoke_real_2epoch.yaml,tests/test_iemocap_clean_roberta_v1.py,67,test_fixture,NO,YES,YES,NO,Active Batch 4 reference updated to the exact planned canonical path.
configs/experiments/original_merc/clean_fold_bases/dialoguegcn_clean.yaml,configs/dialoguegcn/paper_aligned/iemocap/full_context/clean_roberta_features/fivefold_base.yaml,configs/experiments/original_merc/pipeline_manifest.yaml,50,yaml_reference,NO,YES,YES,NO,Active Batch 4 reference updated to the exact planned canonical path.
configs/experiments/original_merc/clean_fold_bases/dialoguegcn_clean.yaml,configs/dialoguegcn/paper_aligned/iemocap/full_context/clean_roberta_features/fivefold_base.yaml,configs/experiments/original_merc/pipeline_manifest.yaml,70,yaml_reference,NO,YES,YES,NO,Active Batch 4 reference updated to the exact planned canonical path.
configs/experiments/original_merc/clean_fold_bases/dialoguegcn_clean.yaml,configs/dialoguegcn/paper_aligned/iemocap/full_context/clean_roberta_features/fivefold_base.yaml,scripts/analysis/paper_aligned/analyze_original_merc_results.py,609,python_string,NO,YES,YES,NO,Active Batch 4 reference updated to the exact planned canonical path.
configs/experiments/original_merc/clean_fold_bases/dialoguegcn_clean.yaml,configs/dialoguegcn/paper_aligned/iemocap/full_context/clean_roberta_features/fivefold_base.yaml,scripts/dev/validate_config_tree.py,182,dynamic_path_consumer,NO,YES,YES,NO,Validator Original-MERC DialogueGCN clean fold-base resolver updated to the canonical paper-aligned config.
configs/experiments/original_merc/clean_screening/dialoguegcn_clean.yaml,configs/dialoguegcn/paper_aligned/iemocap/full_context/clean_roberta_features/dialoguegcn_clean.yaml,configs/experiments/original_merc/pipeline_manifest.yaml,40,yaml_reference,NO,YES,YES,NO,Active Batch 4 reference updated to the exact planned canonical path.
configs/experiments/original_merc/clean_screening/dialoguegcn_clean.yaml,configs/dialoguegcn/paper_aligned/iemocap/full_context/clean_roberta_features/dialoguegcn_clean.yaml,scripts/dev/validate_config_tree.py,172,dynamic_path_consumer,NO,YES,YES,NO,Validator Original-MERC DialogueGCN clean screening resolver updated to the canonical paper-aligned config.
configs/experiments/original_merc/clean_screening/dialoguegcn_clean.yaml,configs/dialoguegcn/paper_aligned/iemocap/full_context/clean_roberta_features/dialoguegcn_clean.yaml,scripts/workflows/benchmarks/run_causal8_original8.py,295,dynamic_path_consumer,NO,YES,YES,NO,Formal benchmark launcher DialogueGCN clean resolver updated to the canonical paper-aligned config.
configs/experiments/original_merc/clean_screening/dialoguegcn_clean.yaml,configs/dialoguegcn/paper_aligned/iemocap/full_context/clean_roberta_features/dialoguegcn_clean.yaml,tests/experiments/test_causal8_original8_launcher.py,120,test_fixture,NO,YES,YES,NO,Active Batch 4 reference updated to the exact planned canonical path.
configs/experiments/original_merc/legacy_fold_bases/dialoguegcn_legacy.yaml,configs/dialoguegcn/paper_aligned/iemocap/full_context/legacy_mmgcn_features/fivefold_base.yaml,configs/experiments/original_merc/pipeline_manifest.yaml,45,yaml_reference,NO,YES,YES,NO,Active Batch 4 reference updated to the exact planned canonical path.
configs/experiments/original_merc/legacy_fold_bases/dialoguegcn_legacy.yaml,configs/dialoguegcn/paper_aligned/iemocap/full_context/legacy_mmgcn_features/fivefold_base.yaml,scripts/dev/validate_config_tree.py,177,dynamic_path_consumer,NO,YES,YES,NO,Validator Original-MERC DialogueGCN legacy fold-base resolver updated to the canonical paper-aligned config.
configs/experiments/original_merc/screening/dialoguegcn_legacy.yaml,configs/dialoguegcn/paper_aligned/iemocap/full_context/legacy_mmgcn_features/screening.yaml,configs/experiments/original_merc/pipeline_manifest.yaml,35,yaml_reference,NO,YES,YES,NO,Active Batch 4 reference updated to the exact planned canonical path.
configs/experiments/original_merc/screening/dialoguegcn_legacy.yaml,configs/dialoguegcn/paper_aligned/iemocap/full_context/legacy_mmgcn_features/screening.yaml,scripts/dev/validate_config_tree.py,167,dynamic_path_consumer,NO,YES,YES,NO,Validator Original-MERC DialogueGCN legacy screening resolver updated to the canonical paper-aligned config.
configs/experiments/original_merc/screening/dialoguegcn_legacy.yaml,configs/dialoguegcn/paper_aligned/iemocap/full_context/legacy_mmgcn_features/screening.yaml,scripts/workflows/benchmarks/run_causal8_original8.py,291,dynamic_path_consumer,NO,YES,YES,NO,Formal benchmark launcher DialogueGCN legacy resolver updated to the canonical paper-aligned config.
configs/experiments/original_merc/screening/dialoguegcn_legacy.yaml,configs/dialoguegcn/paper_aligned/iemocap/full_context/legacy_mmgcn_features/screening.yaml,tests/experiments/test_causal8_original8_launcher.py,116,test_fixture,NO,YES,YES,NO,Active Batch 4 reference updated to the exact planned canonical path.
