order,enabled,matrix,run_id,model_family,display_name,context_mode,pairing_implementation,feature_set,validation_strategy,validation_session,test_session,seed,base_config,parameter_source,clean_feature_source,entrypoint,output_root,selection_metric,test_selection_leakage,future_context_allowed,implementation_lineage,model_provenance,max_epochs,early_stopping_patience,numerical_safety,feature_registry_status,remote_dry_run_required
1,true,primary_seed42,ltp_mmgcn_full_context_val_ses01_s42,mmgcn,MMGCN,full_context,unified_clean,iemocap_clean_roberta_base_utterance_mean_v1,session_holdout,Ses01,Ses05,42,configs/benchmarks/long_training/iemocap_clean/base/mmgcn_full_context.yaml,configs/mmgcn/paper_aligned/iemocap/full_context/clean_roberta_features/mmgcn_clean.yaml,,scripts/workflows/paper_aligned/train.py,outputs/long_training/primary/ltp_mmgcn_full_context_val_ses01_s42,val_weighted_f1,0,true,paper_aligned,paper_aligned_not_author_official,20,0,standard_runtime_finite_checks,REMOTE_ASSET_REQUIRED,true
2,true,primary_seed42,ltp_mmgcn_full_context_val_ses02_s42,mmgcn,MMGCN,full_context,unified_clean,iemocap_clean_roberta_base_utterance_mean_v1,session_holdout,Ses02,Ses05,42,configs/benchmarks/long_training/iemocap_clean/base/mmgcn_full_context.yaml,configs/mmgcn/paper_aligned/iemocap/full_context/clean_roberta_features/mmgcn_clean.yaml,,scripts/workflows/paper_aligned/train.py,outputs/long_training/primary/ltp_mmgcn_full_context_val_ses02_s42,val_weighted_f1,0,true,paper_aligned,paper_aligned_not_author_official,20,0,standard_runtime_finite_checks,REMOTE_ASSET_REQUIRED,true
3,true,primary_seed42,ltp_mmgcn_full_context_val_ses03_s42,mmgcn,MMGCN,full_context,unified_clean,iemocap_clean_roberta_base_utterance_mean_v1,session_holdout,Ses03,Ses05,42,configs/benchmarks/long_training/iemocap_clean/base/mmgcn_full_context.yaml,configs/mmgcn/paper_aligned/iemocap/full_context/clean_roberta_features/mmgcn_clean.yaml,,scripts/workflows/paper_aligned/train.py,outputs/long_training/primary/ltp_mmgcn_full_context_val_ses03_s42,val_weighted_f1,0,true,paper_aligned,paper_aligned_not_author_official,20,0,standard_runtime_finite_checks,REMOTE_ASSET_REQUIRED,true
4,true,primary_seed42,ltp_mmgcn_full_context_val_ses04_s42,mmgcn,MMGCN,full_context,unified_clean,iemocap_clean_roberta_base_utterance_mean_v1,session_holdout,Ses04,Ses05,42,configs/benchmarks/long_training/iemocap_clean/base/mmgcn_full_context.yaml,configs/mmgcn/paper_aligned/iemocap/full_context/clean_roberta_features/mmgcn_clean.yaml,,scripts/workflows/paper_aligned/train.py,outputs/long_training/primary/ltp_mmgcn_full_context_val_ses04_s42,val_weighted_f1,0,true,paper_aligned,paper_aligned_not_author_official,20,0,standard_runtime_finite_checks,REMOTE_ASSET_REQUIRED,true
5,true,primary_seed42,ltp_mmgcn_causal_context_val_ses01_s42,mmgcn,MMGCN,causal_context,unified_clean,iemocap_clean_roberta_base_utterance_mean_v1,session_holdout,Ses01,Ses05,42,configs/benchmarks/long_training/iemocap_clean/base/mmgcn_causal_context.yaml,configs/mmgcn/unified/iemocap/causal_context/clean_roberta_features/val_ses01.yaml,,scripts/models/mmgcn/unified/train.py,outputs/long_training/primary/ltp_mmgcn_causal_context_val_ses01_s42,val_weighted_f1,0,false,unified,unified,30,none,standard_runtime_finite_checks,REMOTE_ASSET_REQUIRED,true
6,true,primary_seed42,ltp_mmgcn_causal_context_val_ses02_s42,mmgcn,MMGCN,causal_context,unified_clean,iemocap_clean_roberta_base_utterance_mean_v1,session_holdout,Ses02,Ses05,42,configs/benchmarks/long_training/iemocap_clean/base/mmgcn_causal_context.yaml,configs/mmgcn/unified/iemocap/causal_context/clean_roberta_features/val_ses01.yaml,,scripts/models/mmgcn/unified/train.py,outputs/long_training/primary/ltp_mmgcn_causal_context_val_ses02_s42,val_weighted_f1,0,false,unified,unified,30,none,standard_runtime_finite_checks,REMOTE_ASSET_REQUIRED,true
7,true,primary_seed42,ltp_mmgcn_causal_context_val_ses03_s42,mmgcn,MMGCN,causal_context,unified_clean,iemocap_clean_roberta_base_utterance_mean_v1,session_holdout,Ses03,Ses05,42,configs/benchmarks/long_training/iemocap_clean/base/mmgcn_causal_context.yaml,configs/mmgcn/unified/iemocap/causal_context/clean_roberta_features/val_ses01.yaml,,scripts/models/mmgcn/unified/train.py,outputs/long_training/primary/ltp_mmgcn_causal_context_val_ses03_s42,val_weighted_f1,0,false,unified,unified,30,none,standard_runtime_finite_checks,REMOTE_ASSET_REQUIRED,true
8,true,primary_seed42,ltp_mmgcn_causal_context_val_ses04_s42,mmgcn,MMGCN,causal_context,unified_clean,iemocap_clean_roberta_base_utterance_mean_v1,session_holdout,Ses04,Ses05,42,configs/benchmarks/long_training/iemocap_clean/base/mmgcn_causal_context.yaml,configs/mmgcn/unified/iemocap/causal_context/clean_roberta_features/val_ses01.yaml,,scripts/models/mmgcn/unified/train.py,outputs/long_training/primary/ltp_mmgcn_causal_context_val_ses04_s42,val_weighted_f1,0,false,unified,unified,30,none,standard_runtime_finite_checks,REMOTE_ASSET_REQUIRED,true
9,true,primary_seed42,ltp_multidag_cl_full_context_val_ses01_s42,multidag_cl,MultiDAG-inspired + CL,full_context,unified_clean,iemocap_clean_roberta_base_utterance_mean_v1,session_holdout,Ses01,Ses05,42,configs/benchmarks/long_training/iemocap_clean/base/multidag_cl_full_context.yaml,configs/multidag_cl/paper_aligned/iemocap/full_context/clean_roberta_features/multidag_cl_clean.yaml,,scripts/workflows/paper_aligned/train.py,outputs/long_training/primary/ltp_multidag_cl_full_context_val_ses01_s42,val_weighted_f1,0,true,paper_aligned,paper_aligned_not_author_official,30,0,standard_runtime_finite_checks,REMOTE_ASSET_REQUIRED,true
10,true,primary_seed42,ltp_multidag_cl_full_context_val_ses02_s42,multidag_cl,MultiDAG-inspired + CL,full_context,unified_clean,iemocap_clean_roberta_base_utterance_mean_v1,session_holdout,Ses02,Ses05,42,configs/benchmarks/long_training/iemocap_clean/base/multidag_cl_full_context.yaml,configs/multidag_cl/paper_aligned/iemocap/full_context/clean_roberta_features/multidag_cl_clean.yaml,,scripts/workflows/paper_aligned/train.py,outputs/long_training/primary/ltp_multidag_cl_full_context_val_ses02_s42,val_weighted_f1,0,true,paper_aligned,paper_aligned_not_author_official,30,0,standard_runtime_finite_checks,REMOTE_ASSET_REQUIRED,true
