old_path,model,implementation,dataset,context_mode,feature_set,purpose,scope,is_pipeline,is_benchmark,is_smoke,is_analysis,is_ablation,is_modality_missing,is_formal,is_official,is_paper_aligned,is_project_variant,entrypoint,referenced_configs,referenced_scripts,feature_path,output_path,candidate_new_path,risk_level,confidence,manual_review,notes,yaml_top_level_keys,model_key,model_variant,causal_flag,split,validation_session,test_session,seed,task,parent_base_config,pipeline_stages,checkpoint_path,runtime_keys,modality_settings,missing_modality_settings,provenance_evidence
configs/analysis/causal_benchmark_8run_review.yaml,,,iemocap,causal_context,legacy_mmgcn_features,analysis,analysis,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,scripts/analysis/causal/summarize_causal_benchmark_runs.py,,,,outputs,configs/benchmarks/causal_unified/analysis/eight_run_review.yaml,low,high,NO,Content-derived classification; no YAML move or edit in Phase 4A.,output|selection_metric|std_ddof|expected_val_split_strategy|expected_checkpoint_metric|expected_feature_sha256|mmgcn|multidag|duplicate_runs,,,,,,,,analysis,,,,,,,legacy MMGCN-style feature path/content
configs/analysis/four_model_causal_audit.yaml,,,iemocap,causal_context,legacy_mmgcn_features,analysis,analysis,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,scripts/analysis/causal/run_four_model_causal_audit.py,configs/baselines/dialoguegcn/iemocap/causal_benchmark/official_prefix.yaml|configs/baselines/gsmcc/iemocap/causal_benchmark/official_prefix.yaml|configs/baselines/mmgcn/iemocap/causal_benchmark/official_prefix.yaml|configs/baselines/multidag_cl/iemocap/causal_benchmark/official_prefix.yaml,,,outputs,configs/benchmarks/causal_unified/analysis/four_model_audit_formal.yaml,low,high,NO,Content-derived classification; no YAML move or edit in Phase 4A.,models|audit|output,,,,,,,,analysis,,,,,,,legacy MMGCN-style feature path/content
configs/analysis/four_model_causal_audit_synthetic.yaml,,,synthetic,causal_context,synthetic,analysis,analysis,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,scripts/analysis/causal/run_four_model_causal_audit.py,configs/baselines/dialoguegcn/iemocap/causal_benchmark/official_prefix.yaml|configs/baselines/gsmcc/iemocap/causal_benchmark/official_prefix.yaml|configs/baselines/mmgcn/iemocap/causal_benchmark/official_prefix.yaml|configs/baselines/multidag_cl/iemocap/causal_benchmark/official_prefix.yaml,,,outputs,configs/benchmarks/causal_unified/analysis/four_model_audit_synthetic.yaml,low,high,NO,Content-derived classification; no YAML move or edit in Phase 4A.,models|audit|output,,,,,,,,analysis,,,,,,,
configs/analysis/multi_run_final_analysis.yaml,mmgcn,unified,iemocap,,,analysis,analysis,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,scripts/analysis/common/plot_multi_run_final_analysis.py,,scripts/analysis/common/plot_multi_run_final_analysis.py,,outputs,configs/benchmarks/paper/analysis/multi_run_metrics.yaml,low,high,NO,Content-derived classification; no YAML move or edit in Phase 4A.,output|analysis|runs|overall|per_class|ranking|figure,,,,test,,,,analysis,,,,,,,
configs/analysis/multi_run_training_curves.yaml,mmgcn,unified,iemocap,,,analysis,analysis,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,scripts/analysis/common/plot_multi_run_training_curves.py,,scripts/analysis/common/plot_multi_run_training_curves.py,,outputs,configs/benchmarks/paper/analysis/multi_run_curves.yaml,low,high,NO,Content-derived classification; no YAML move or edit in Phase 4A.,output|analysis|runs|training_curves|figure,,,,,,,,analysis,,,,,,,
configs/analysis/multidag_cl/iemocap/context_compare.yaml,multidag_cl,unified,iemocap,,,analysis,analysis,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,scripts/analysis/common/plot_multi_run_final_analysis.py,,,,outputs,configs/benchmarks/ablations/analysis/multidag_cl/context_compare.yaml,low,high,NO,Content-derived classification; no YAML move or edit in Phase 4A.,output|analysis|runs|training_curves|overall|per_class|ranking|figure,,,,test,,,,analysis,,,,,,,
configs/analysis/multidag_cl/iemocap/core_results_compare.yaml,multidag_cl,unified,iemocap,,,analysis,analysis,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,scripts/analysis/common/plot_multi_run_final_analysis.py,,,,outputs,configs/benchmarks/paper/analysis/multidag_cl/core_results_compare.yaml,low,high,NO,Content-derived classification; no YAML move or edit in Phase 4A.,output|analysis|runs|training_curves|overall|per_class|ranking|figure,,,,test,,,,analysis,,,,,,,
configs/analysis/multidag_cl/iemocap/loss_stability/loss_stability_w5_compare.yaml,multidag_cl,unified,iemocap,causal_context,legacy_mmgcn_features,analysis,analysis,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,scripts/analysis/models/multidag_cl/plot_stabilization_compare.py,configs/pipeline/multidag_cl/iemocap/loss_stability/context_w5_tav_stable_lr3e4_cosine.yaml|configs/pipeline/multidag_cl/iemocap/loss_stability/context_w5_tav_stable_lr3e4_earlystop_valloss.yaml|configs/pipeline/multidag_cl/iemocap/loss_stability/context_w5_tav_stable_lr3e4_label_smoothing005.yaml|configs/pipeline/multidag_cl/iemocap/loss_stability/context_w5_tav_stable_lr3e4_plateau_valloss.yaml|configs/pipeline/multidag_cl/iemocap/loss_stability/context_w5_tav_stable_lr5e4_plateau_valloss.yaml|configs/pipeline/multidag_cl/iemocap/stabilize/context_w5_tav_stable_candidate.yaml,,,outputs,configs/benchmarks/ablations/analysis/multidag_cl/loss_stability_w5_compare.yaml,low,high,NO,Content-derived classification; no YAML move or edit in Phase 4A.,analysis_name|output|runs,,,,,,,,analysis,,,,,,,legacy MMGCN-style feature path/content
configs/analysis/multidag_cl/iemocap/modality_compare.yaml,multidag_cl,unified,iemocap,,,analysis,analysis,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,scripts/analysis/common/plot_multi_run_final_analysis.py,,,,outputs,configs/benchmarks/ablations/analysis/multidag_cl/modality_compare.yaml,low,high,NO,Content-derived classification; no YAML move or edit in Phase 4A.,output|analysis|runs|training_curves|overall|per_class|ranking|figure,,,,test,,,,analysis,,,,,,,
configs/analysis/multidag_cl/iemocap/stabilization_20260709_compare.yaml,multidag_cl,unified,iemocap,causal_context,,analysis,analysis,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,scripts/analysis/models/multidag_cl/plot_stabilization_compare.py,,,,outputs,configs/benchmarks/ablations/analysis/multidag_cl/stabilization_compare_20260709.yaml,low,high,NO,Content-derived classification; no YAML move or edit in Phase 4A.,analysis_name|output|baseline_run_id|runs|metrics|plots,,,,,,,,analysis,,,,,,,
