old_path,responsibility,recommended_scope,recommended_new_path,mutates_data,read_only,emits_diagnostic_status,model_specific,dataset_specific,has_cli,is_imported,is_subprocess_target,legacy_model_imports,requires_wrapper,risk_level,confidence,notes
scripts/analyze/audit_iemocap_feature_pkl.py,"Audit legacy/candidate IEMOCAP feature PKL structure, SHA, modality invariants, and text-feature contract",diagnostics_data,scripts/diagnostics/data/audit_iemocap_feature_pkl.py,no,yes,yes,no,yes,yes,yes,no,,yes,medium,high,"Reads feature PKLs; writes diagnostic JSON/CSV/Markdown only; strict mode preserves failure exit"
scripts/analyze/diagnose_iemocap_splits.py,"Build IEMOCAP split manifests and diagnose session, speaker, label, and overlap protocol properties",diagnostics_data,scripts/diagnostics/data/diagnose_iemocap_splits.py,no,yes,yes,no,yes,yes,no,no,,yes,medium,high,"Reads configured dataset and writes audit tables/figures; does not alter dataset"
scripts/analyze/diagnose_loss_stability.py,"Diagnose saved run loss curves and late-training stability",diagnostics_experiments,scripts/diagnostics/experiments/diagnose_loss_stability.py,no,yes,yes,no,no,yes,no,no,,yes,low,high,"Reads epoch_metrics.csv and writes diagnostic summaries/figures"
scripts/analyze/diagnose_multidag_cl_run.py,"Diagnose one MultiDAG+CL run from epoch, validation, test, and config logs",diagnostics_experiments,scripts/diagnostics/experiments/diagnose_multidag_cl_run.py,no,yes,yes,yes,no,yes,no,no,,yes,medium,high,"Experiment-run diagnosis takes precedence over model directory because it analyzes saved run behavior"
scripts/analyze/probe_iemocap_text_features.py,"Run current-utterance IEMOCAP text-feature probes, duplicate checks, and session diagnostics",diagnostics_data,scripts/diagnostics/data/probe_iemocap_text_features.py,no,yes,yes,no,yes,yes,yes,no,,yes,medium,high,"Reads one feature PKL and writes diagnostic tables/plots"
scripts/baselines/debug_causal_dialoguegcn_forward.py,"Synthetic causal DialogueGCN forward, attention, loss, and finite-gradient checks",diagnostics_models,scripts/diagnostics/models/dialoguegcn/debug_causal_dialoguegcn_forward.py,no,yes,yes,yes,no,yes,no,no,models.baselines.dialoguegcn,yes,low,high,"Synthetic-only model contract diagnostic; canonical model import required"
scripts/baselines/debug_causal_gsmcc_forward.py,"Synthetic causal GS-MCC forward, loss, padding, and finite-gradient checks",diagnostics_models,scripts/diagnostics/models/gsmcc/debug_causal_gsmcc_forward.py,no,yes,yes,yes,no,yes,no,no,models.baselines.gsmcc,yes,low,high,"Synthetic-only model contract diagnostic; canonical model import required"
scripts/baselines/debug_multidag_cl_forward.py,"Synthetic MultiDAG+CL forward and future-leakage checks",diagnostics_models,scripts/diagnostics/models/multidag_cl/debug_multidag_cl_forward.py,no,yes,yes,yes,no,no,no,no,models.baselines.multidag_cl,yes,low,high,"Synthetic-only model mechanism diagnostic; canonical model import required"
scripts/baselines/debug_multidag_cl_real_batch.py,"One-batch real-data MultiDAG+CL dataloader, forward, loss, backward, and contract checks",diagnostics_models,scripts/diagnostics/models/multidag_cl/debug_multidag_cl_real_batch.py,no,yes,yes,yes,yes,yes,no,no,models.baselines.multidag_cl,yes,high,high,"Reads real data when executed; no formal training or persistent model update; do not execute in local gates"
scripts/baselines/debug_new_causal_graph_real_batch.py,"One real batch through the configured causal graph model with runtime contract checks",diagnostics_models,scripts/diagnostics/models/debug_new_causal_graph_real_batch.py,no,yes,yes,yes,yes,yes,no,no,models.baselines.causal_baseline_registry,yes,high,high,"Cross-model causal registry diagnostic; canonical registry/runtime imports required"
scripts/baselines/debug_sdt_forward.py,"Synthetic SDT forward and model-contract checks",diagnostics_models,scripts/diagnostics/models/sdt/debug_sdt_forward.py,no,yes,yes,yes,no,no,no,no,models.baselines.sdt,yes,low,high,"Synthetic-only experimental model diagnostic; canonical model import required"
scripts/debug/debug_dialogue_feature_dataset.py,"Exercise DialogueFeatureDataset adapters and print split/sample structure",diagnostics_data,scripts/diagnostics/data/debug_dialogue_feature_dataset.py,no,yes,yes,no,yes,no,no,no,,yes,medium,high,"Adapter-focused debug behavior, including load-error reporting, is diagnostic rather than passive raw-file inspection"
scripts/debug/debug_iemocap_dataloader.py,"Exercise IEMOCAP dataset/dataloader splits and enforce mask-label count consistency",diagnostics_data,scripts/diagnostics/data/debug_iemocap_dataloader.py,no,yes,yes,no,yes,yes,no,no,,yes,medium,high,"Raises on dataloader contract mismatch"
scripts/debug/debug_io.py,"Exercise config/path resolution and run-environment creation",diagnostics_experiments,scripts/diagnostics/experiments/debug_io.py,no,no,yes,no,no,no,no,no,,yes,high,high,"Creates run directories using existing defaults when executed; import-only and mocked safety checks required"
scripts/debug/debug_m3ed_dataloader.py,"Exercise M3ED dataloader, padding, masks, labels, and batch metadata",diagnostics_data,scripts/diagnostics/data/debug_m3ed_dataloader.py,no,yes,yes,no,yes,no,no,no,,yes,medium,high,"Reads configured M3ED features; does not write dataset"
scripts/debug/debug_m3ed_dataset.py,"Exercise M3ED metadata dataset splits, dialogue lengths, labels, and sample structure",diagnostics_data,scripts/diagnostics/data/debug_m3ed_dataset.py,no,yes,yes,no,yes,no,no,no,,yes,medium,high,"Dataset-adapter validation rather than raw-file catalog inspection"
scripts/debug/debug_m3ed_feature_dataset.py,"Exercise M3ED feature adapter split summaries, feature dimensions, and sample alignment",diagnostics_data,scripts/diagnostics/data/debug_m3ed_feature_dataset.py,no,yes,yes,no,yes,no,no,no,,yes,medium,high,"Feature-adapter validation rather than raw-file catalog inspection"
scripts/debug/debug_mmgcn_forward.py,"One-batch MMGCN dataloader, graph, forward, loss, backward, and optimizer-step diagnostic",diagnostics_models,scripts/diagnostics/models/mmgcn/debug_mmgcn_forward.py,no,yes,yes,yes,yes,no,no,no,models.baselines.mmgcn.mm_gcn,yes,high,high,"Reads real configured data when executed; canonical MMGCN import required"
scripts/debug/debug_simple_mlp_step.py,"One-batch SimpleMLP forward, loss, backward, optimizer-step, and metric diagnostic",diagnostics_models,scripts/diagnostics/models/simple_mlp/debug_simple_mlp_step.py,no,yes,yes,yes,yes,no,no,no,models.baselines.simple_mlp,yes,high,high,"Reads real configured data when executed; canonical SimpleMLP import required"
